train_loss,val_loss,val_macro_f1
0.6038961432150433,0.3972477280363745,0.7064476355460172
0.3759210501909256,0.3651271394016791,0.725070844983264
0.28331288642116953,0.35573066299667166,0.7349858711922646
0.2118210700239454,0.353699087944566,0.7398710836515632
0.15483149510196276,0.38249748344628176,0.7361577621062618
0.12004199233651161,0.39775160646864344,0.7424881068624248
0.09303502566686699,0.42482450634849317,0.7351822782528854
0.07619806369766594,0.4512674306538336,0.7371060254290427
0.06642749188361423,0.48586687343005014,0.7359953622441135
0.057144694505525485,0.4700983795432412,0.7453568221586806
0.05028286988900176,0.5091758000911498,0.7362416687797435
0.04823701939758446,0.4979803665560119,0.7402354341347005
0.042740257797895795,0.5015807256710773,0.7403364991844578
0.03853504978040499,0.5406941287219524,0.7428595841276364
0.03705908077755677,0.5565708818636379,0.7407507319579918
0.03425303706074399,0.5339132872771244,0.7477005372035259
0.034004590103369474,0.5531243807351103,0.732072848711767
0.030997842368403715,0.5436990486876089,0.7319651837884933
0.028315044837953923,0.5602593177131244,0.7346804686934949
0.026887271237576248,0.6254901963533187,0.722605861579966
0.02889096580063259,0.5896281319461307,0.7333503651530447
0.026695818373667343,0.5653116092541997,0.7419293225061028
0.01717993318522349,0.551653790762838,0.7489712977281342
0.01318567579788422,0.5720486722278352,0.7414361752660232
0.011965301356835491,0.6062449476092445,0.7320334348879425
0.011651046988970067,0.5828543396628633,0.7431652931696495
0.010931636081821385,0.6098609371300863,0.7427383315829591
0.01069796849721128,0.5944470069846328,0.7411569660355215
0.010406217115049783,0.6080088989086905,0.7376952647855897
0.007775930543276315,0.6029707696668956,0.7416311716114716
0.007185780668780873,0.6030744917082543,0.736504469797275
0.00688217951349569,0.614492632144568,0.7442352980131718
0.00685304250615757,0.5996306172895188,0.7386092681702976
